length	RPM
0	0
1	97.2445197977464
2	97.2445197977464
3	97.2445197977464
4	97.2445197977464
5	97.2445197977464
6	97.2445197977464
7	97.2445197977464
8	97.2445197977464
9	102.777235967531
10	103.80875932122
11	103.80875932122
12	103.80875932122
13	103.80875932122
14	103.80875932122
15	103.80875932122
16	103.80875932122
17	103.527434770214
18	107.747303035304
19	107.747303035304
20	140.849825203679
21	142.912871911056
22	134.660685081546
23	134.660685081546
24	134.660685081546
25	125.189425197677
26	125.189425197677
27	125.189425197677
28	117.593662320515
29	117.593662320515
30	101.464388062837
31	89.4612072199132
32	82.7094179957688
33	78.9584239823553
34	75.3949796696124
35	102.495911416525
36	142.537772509715
37	145.44479287011
38	143.381746162733
39	147.695389278159
40	138.693003645966
41	137.192606040601
42	138.880553346637
43	152.665456345932
44	155.666251556662
45	158.760821617729
46	178.828639589491
47	184.642680310282
48	192.425992888115
49	189.800297078726
50	177.609566535132
51	183.704931806929
52	264.163753394651
53	551.771219373133
54	555.428438536211
55	571.276388242883
56	590.687782262298
57	614.506594247475
58	638.888055334662
59	691.02687212111
60	763.421056579992
61	779.925430239011
62	1082.44309742082
63	1318.66194541554
64	1335.72896817657
65	1473.48422331919
66	1621.64848684902
67	1793.16268811236
68	1834.23607255924
69	1936.16933487375
70	2033.03875527016
71	2036.03955048089
72	2033.32007982116
73	2023.47372053595
74	2013.43981155007
75	2012.03318879504
76	2001.90550495883
77	1959.61304745759
78	1951.82973487975
79	1977.89914327298
80	1939.07635523415
81	1944.5152965536
82	1953.89278158713
83	1902.69171330404
84	1883.65541868596
85	1902.12906420202
86	1878.12270251618
87	749.636153580698
88	574.558508004621
89	185.392879112965
90	172.639499467359
91	158.010622815046
92	148.820687482183
93	143.569295863404
94	147.601614427823
95	152.946780896938
96	167.294332998244
97	171.795525814341
98	181.360560548545
99	184.548905459947
100	166.731683896232
101	158.291947366052
102	163.824663535837
103	161.292742576783
104	161.292742576783
105	173.295923419706
106	179.672613242509
107	175.452744977419
108	165.231286290867
109	165.231286290867
110	165.231286290867
111	159.698570121082
112	159.698570121082
113	151.727707842578
114	145.069693468769
115	142.256447958709
116	142.256447958709
117	114.592867109784
118	73.9883569145824
119	73.9883569145824
120	66.2050443367492
121	25.3192095905415
122	0
123	0
